salary_table
Career_ID,Career_Title,Category,Starting Salary,Salary_growth_mean,salary_growth_sd
21-2010,Clergy,Public Service,47220,0.03669979,0.041177135
21-2020,"Directors, Religious Activities and Education",Public Service,42210,0.039672332,0.031423769
21-2090,Miscellaneous Religious Workers,Public Service,34700,0.053186419,0.06689239
23-0000,Legal Occupations,Legal Occupations,62410,0.038727144,0.062285789
23-1010,Lawyers and Judicial Law Clerks,Legal Occupations,98810,0.029762404,0.018939981
23-1020,"Judges, Magistrates, and Other Judicial Workers",Legal Occupations,68900,0.023961349,0.027750212
23-2010,Paralegals and Legal Assistants,Legal Occupations,48190,0.025273988,0.020194315
23-2090,Miscellaneous Legal Support Workers,Legal Occupations,46950,0.025982128,0.036595869
25-0000,Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,39870,0.029258034,0.036434726
25-1010,"Business Teachers, Postsecondary",Educational Instruction and Library Occupations,63040,0.029593447,0.04386365
25-1020,"Math and Computer Science Teachers, Postsecondary",Educational Instruction and Library Occupations,62160,0.018456576,0.019582326
25-1030,"Engineering and Architecture Teachers, Postsecondary",Educational Instruction and Library Occupations,79300,0.016200791,0.020757225
25-1040,"Life Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,64140,0.008542263,0.026835912
25-1050,"Physical Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,65540,0.022156912,0.045100265
25-1060,"Social Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,63260,0.014313153,0.022023112
25-1070,"Health Teachers, Postsecondary",Educational Instruction and Library Occupations,66140,0.024064025,0.037762285
25-1080,"Education and Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,51490,0.018907094,0.03717291
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,63010,0.027190213,0.028904922
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Educational Instruction and Library Occupations,60520,0.023895336,0.028582085
25-1190,Miscellaneous Postsecondary Teachers,Educational Instruction and Library Occupations,50180,0.043354985,0.070870908
25-2010,Preschool and Kindergarten Teachers,Educational Instruction and Library Occupations,34440,0.017726623,0.028202954
25-2020,Elementary and Middle School Teachers,Educational Instruction and Library Occupations,51140,0.014006885,0.015807022
25-2030,Secondary School Teachers,Educational Instruction and Library Occupations,57950,0.013813695,0.018405428
25-2050,Special Education Teachers,Educational Instruction and Library Occupations,57270,0.014359367,0.018969507
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Educational Instruction and Library Occupations,47950,0.020084348,0.028389937
25-3020,Self-Enrichment Teachers,Educational Instruction and Library Occupations,35410,0.024741331,0.026047676
25-3090,Miscellaneous Teachers and Instructors,Educational Instruction and Library Occupations,46700,0.055333988,0.078896853
25-4010,"Archivists, Curators, and Museum Technicians",Educational Instruction and Library Occupations,43000,0.023083711,0.03438626
25-4020,Librarians and Media Collections Specialists,Educational Instruction and Library Occupations,50920,0.013825392,0.01299119
25-4030,Library Technicians,Educational Instruction and Library Occupations,33510,0.024068299,0.018518686
25-9010,Unknown Title,Educational Instruction and Library Occupations,Unknown start,0.026318782,0.014238232
25-9020,Farm and Home Management Educators,Educational Instruction and Library Occupations,46010,0.019684674,0.047985327
25-9030,Instructional Coordinators,Educational Instruction and Library Occupations,59120,0.02133552,0.045442556
25-9040,Teaching Assistants,Educational Instruction and Library Occupations,29330,0.041182434,0.044821395
25-9090,Miscellaneous Educational Instruction and Library Workers,Educational Instruction and Library Occupations,33280,0.02135861,0.048798989
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",41290,0.032366733,0.055891416
27-1010,Artists and Related Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",64880,0.044404668,0.051620186
27-1020,Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",37110,0.021417434,0.011826259
27-2010,"Actors, Producers, and Directors","Arts, Design, Entertainment, Sports, and Media Occupations",49920,0.030079686,0.058735892
27-2020,"Athletes, Coaches, Umpires, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations",33780,0.045444152,0.045727894
27-2030,Dancers and Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations",35790,0.043893809,0.056145845
27-3010,Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media Occupations",33280,0.048025218,0.034835432
27-3020,"News Analysts, Reporters and Journalists","Arts, Design, Entertainment, Sports, and Media Occupations",40420,0.054373608,0.046771171
27-3030,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations",51970,0.023453947,0.024720094
27-3040,Writers and Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",57400,0.02829619,0.016773428
27-3090,Miscellaneous Media and Communication Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",46950,0.039937953,0.058116576
27-4010,"Broadcast, Sound, and Lighting Technicians","Arts, Design, Entertainment, Sports, and Media Occupations",43250,0.032796248,0.039122429
27-4020,Photographers,"Arts, Design, Entertainment, Sports, and Media Occupations",34790,0.034682953,0.059959446
27-4030,"Television, Video, and Film Camera Operators and Editors","Arts, Design, Entertainment, Sports, and Media Occupations",49420,0.027068668,0.034337635
27-4090,Miscellaneous Media and Communication Equipment Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",48490,0.031783471,0.055723984
29-0000,Healthcare Practitioners and Technical Occupations,Healthcare,61680,0.035875855,0.020873008
29-1010,Chiropractors,Healthcare,59320,0.023141776,0.023939613
29-1020,Dentists,Healthcare,127660,0.014293106,0.031119841
29-1030,Dietitians and Nutritionists,Healthcare,61260,0.027779566,0.030250732
29-1040,Optometrists,Healthcare,103310,0.029475251,0.015095567
29-1050,Pharmacists,Healthcare,127250,0.013870654,0.010324644
29-1070,Physician Assistants,Healthcare,113770,0.034553915,0.007929517
29-1080,Podiatrists,Healthcare,91130,0.028736848,0.045258808
29-1120,Therapists,Healthcare,77190,0.028696511,0.029919414
29-1130,Veterinarians,Healthcare,98420,0.040426266,0.04518245
29-1140,Registered Nurses,Healthcare,78610,0.037238863,0.023439674
29-1150,Nurse Anesthetists,Healthcare,187110,0.039870612,0.015512772
29-1160,Nurse Midwives,Healthcare,104260,0.037899221,0.03250222
29-1170,Nurse Practitioners,Healthcare,109940,0.031150719,0.020456891
29-1180,Audiologists,Healthcare,76440,0.023643355,0.029054386
29-2010,Clinical Laboratory Technologists and Technicians,Healthcare,46580,0.022993722,0.02417325
29-2030,Diagnostic Related Technologists and Technicians,Healthcare,64600,0.040728079,0.036883601
29-2040,Emergency Medical Technicians and Paramedics,Healthcare,38240,0.042706927,0.038595704
29-2050,Health Practitioner Support Technologists and Technicians,Healthcare,37250,0.036610686,0.031085954
29-2060,Licensed Practical and Licensed Vocational Nurses,Healthcare,55220,0.042521143,0.045192197
29-2070,Medical Records Specialists,Healthcare,41600,0.026680614,0.008113773
29-2080,"Opticians, Dispensing",Healthcare,37900,0.033367834,0.03841757
29-2090,Miscellaneous Health Technologists and Technicians,Healthcare,41650,0.017619042,0.023370746
29-9090,Miscellaneous Health Practitioners and Technical Workers,Healthcare,49190,0.03560252,0.018970679
31-0000,Healthcare Support Occupations,Healthcare,33380,0.051785055,0.044121923
31-2010,Occupational Therapy Assistants and Aides,Healthcare,57200,0.02158738,0.009877607
31-2020,Physical Therapist Assistants and Aides,Healthcare,37020,0.038886295,0.050299199
31-9010,Massage Therapists,Healthcare,44870,0.048299467,0.031511754
31-9090,Miscellaneous Healthcare Support Occupations,Healthcare,37440,0.038402185,0.028483925
33-0000,Protective Service Occupations,Protective Service,37580,0.037860954,0.033587489
33-1010,First-Line Supervisors of Law Enforcement Workers,Protective Service,73910,0.031680213,0.037145678
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,72240,0.028127482,0.028583952
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",Protective Service,46760,0.028454728,0.028537233
33-2010,Firefighters,Protective Service,44180,0.027483174,0.036212153
33-2020,Fire Inspectors,Protective Service,56440,0.036564112,0.027721741
33-3010,"Bailiffs, Correctional Officers, and Jailers",Protective Service,47460,0.040698814,0.027284392
33-3020,Detectives and Criminal Investigators,Protective Service,68390,0.021903714,0.026369626
33-3030,Fish and Game Wardens,Protective Service,53260,0.029937706,0.050758814
33-3040,Parking Enforcement Workers,Protective Service,39930,0.030708878,0.066198138
33-3050,Police Officers,Protective Service,59020,0.030724053,0.031995969
33-9010,Animal Control Workers,Protective Service,38160,0.035933939,0.027910704
33-9020,Private Detectives and Investigators,Protective Service,41940,0.017739151,0.070683934
33-9030,Security Guards and Gambling Surveillance Officers,Protective Service,35130,0.050581799,0.025306796
33-9090,Miscellaneous Protective Service Workers,Protective Service,31760,0.048466236,0.020066869
35-0000,Food Preparation and Serving Related Occupations,Food Preparation and Serving,28160,0.069899613,0.026056431
35-1010,Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,35840,0.038740236,0.024275089
35-2010,Cooks,Food Preparation and Serving,29590,0.057169136,0.022375275
35-2020,Food Preparation Workers,Food Preparation and Serving,28740,0.06063907,0.02216446
35-3010,Bartenders,Food Preparation and Serving,25790,0.062101744,0.022485171
35-3020,Fast Food and Counter Workers,Food Preparation and Serving,27150,0.054420987,0.024904373
35-3030,Waiters and Waitresses,Food Preparation and Serving,25690,0.064798957,0.030825436
35-3040,"Food Servers, Nonrestaurant",Food Preparation and Serving,29800,0.060109966,0.02431275
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving,27830,0.060429387,0.013824221
35-9020,Dishwashers,Food Preparation and Serving,28740,0.063795637,0.024811154
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving,26630,0.052777539,0.029188282
35-9090,Miscellaneous Food Preparation and Serving Related Workers,Food Preparation and Serving,29890,0.061579279,0.023106076
37-0000,Building and Grounds Cleaning and Maintenance Occupations,Cleaning and Maintenance ,31600,0.051152661,0.039220767
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,Cleaning and Maintenance ,41820,0.026760121,0.012900903
37-2010,Building Cleaning Workers,Cleaning and Maintenance ,30410,0.052154735,0.023012771
37-2020,Pest Control Workers,Cleaning and Maintenance ,37060,0.03798964,0.039756148
37-3010,Grounds Maintenance Workers,Cleaning and Maintenance ,35470,0.046475462,0.023329946
39-0000,Personal Care and Service Occupations,Personal Care and Service,29220,0.056879807,0.024659482
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,Personal Care and Service,38980,0.018825621,0.01825122
39-1020,First-Line Supervisors of Personal Service Workers,Personal Care and Service,37800,0.03870758,0.029303541
39-2010,Animal Trainers,Personal Care and Service,32870,0.043515867,0.045801678
39-2020,Animal Caretakers,Personal Care and Service,28870,0.053270895,0.020211149
39-3010,Gambling Services Workers,Personal Care and Service,24950,0.063886593,0.049143348
39-3020,Motion Picture Projectionists,Personal Care and Service,29250,0.066723413,0.043296971
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service,27140,0.056093404,0.041541354
39-3090,Miscellaneous Entertainment Attendants and Related Workers,Personal Care and Service,26430,0.053974099,0.034545077
39-4010,Embalmers and Crematory Operators,Personal Care and Service,38140,0.028765048,0.023648299
39-4020,Funeral Attendants,Personal Care and Service,29420,0.042948307,0.027297377
39-4030,"Morticians, Undertakers, and Funeral Arrangers",Personal Care and Service,38470,0.003876032,0.044519793
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",Personal Care and Service,29120,0.046227972,0.038544143
39-5090,Miscellaneous Personal Appearance Workers,Personal Care and Service,31620,0.053727171,0.041271826
39-6010,"Baggage Porters, Bellhops, and Concierges",Personal Care and Service,32560,0.048370473,0.027965008
39-7010,Tour and Travel Guides,Personal Care and Service,31250,0.04591073,0.045046327
39-9010,Childcare Workers,Personal Care and Service,28000,0.052011539,0.01341163
39-9030,Recreation and Fitness Workers,Personal Care and Service,31400,0.039551212,0.040722445
39-9040,Residential Advisors,Personal Care and Service,33890,0.051885689,0.039818671
39-9090,Miscellaneous Personal Care and Service Workers,Personal Care and Service,32450,0.071914615,0.06802408
41-0000,Sales and Related Occupations,Sales,31010,0.047458122,0.060312778
41-1010,First-Line Supervisors of Sales Workers,Sales,38710,0.02035988,0.014498858
41-2010,Cashiers,Sales,27780,0.054803302,0.016008913
41-2020,Counter and Rental Clerks and Parts Salespersons,Sales,33280,0.043199807,0.036075503
41-2030,Retail Salespersons,Sales,29140,0.052971204,0.025144454
41-3010,Advertising Sales Agents,Sales,44980,0.027580861,0.045614336
41-3020,Insurance Sales Agents,Sales,45520,0.026610191,0.055702189
41-3030,"Securities, Commodities, and Financial Services Sales Agents",Sales,51600,0.011619051,0.064584012
41-3040,Travel Agents,Sales,38760,0.034745173,0.015483085
41-3090,"Miscellaneous Sales Representatives, Services",Sales,47120,0.028033665,0.01357951
41-4010,"Sales Representatives, Wholesale and Manufacturing",Sales,50820,0.026073151,0.036694354
41-9010,"Models, Demonstrators, and Product Promoters",Sales,34200,0.050278421,0.022044353
41-9020,Real Estate Brokers and Sales Agents,Sales,40180,0.029613657,0.039347503
41-9030,Sales Engineers,Sales,90690,0.025178503,0.036321619
41-9040,Telemarketers,Sales,29120,0.043637455,0.034569373
41-9090,Miscellaneous Sales and Related Workers,Sales,34530,0.050071587,0.153949777
43-0000,Office and Administrative Support Occupations,Office and Administrative Support,37580,0.040404978,0.037565349
43-1010,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,53190,0.025774547,0.011965584
43-2010,"Switchboard Operators, Including Answering Service",Office and Administrative Support,34250,0.038999595,0.050005283
43-2020,Telephone Operators,Office and Administrative Support,35860,0.010057062,0.029162305
43-2090,Miscellaneous Communications Equipment Operators,Office and Administrative Support,44620,0.024621494,0.039136471
43-3010,Bill and Account Collectors,Office and Administrative Support,38290,0.033370167,0.037581683
43-3020,Billing and Posting Clerks,Office and Administrative Support,40260,0.034220358,0.039801658
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,41390,0.031563818,0.018280314
43-3040,Gambling Cage Workers,Office and Administrative Support,31870,0.041318983,0.042564858
43-3050,Payroll and Timekeeping Clerks,Office and Administrative Support,45440,0.033882249,0.015247829
43-3060,Procurement Clerks,Office and Administrative Support,41240,0.02004091,0.01232147
43-3070,Tellers,Office and Administrative Support,36420,0.045648171,0.030000707
43-3090,Miscellaneous Financial Clerks,Office and Administrative Support,46350,0.029960708,0.025361108
43-4010,Brokerage Clerks,Office and Administrative Support,53880,0.030618495,0.033558031
43-4020,Correspondence Clerks,Office and Administrative Support,38510,0.032293071,0.040103566
43-4030,"Court, Municipal, and License Clerks",Office and Administrative Support,39730,0.032546567,0.026798611
43-4040,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,40850,0.037722802,0.023810027
43-4050,Customer Service Representatives,Office and Administrative Support,35970,0.034089122,0.019501939
43-4060,"Eligibility Interviewers, Government Programs",Office and Administrative Support,43850,0.019863079,0.0122862
43-4070,File Clerks,Office and Administrative Support,35120,0.044831174,0.019594327
43-4080,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support,29210,0.056098747,0.031024188
43-4110,"Interviewers, Except Eligibility and Loan",Office and Administrative Support,37380,0.037874911,0.019546053
43-4120,"Library Assistants, Clerical",Office and Administrative Support,30190,0.044026469,0.022449471
43-4130,Loan Interviewers and Clerks,Office and Administrative Support,42720,0.029806725,0.03094657
43-4140,New Accounts Clerks,Office and Administrative Support,40050,0.033200505,0.03314363
43-4150,Order Clerks,Office and Administrative Support,38110,0.037037676,0.033852491
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support,42360,0.029475868,0.015471253
43-4170,Receptionists and Information Clerks,Office and Administrative Support,32660,0.035912309,0.044714272
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,37200,0.018586183,0.01756581
43-4190,Miscellaneous Information and Record Clerks,Office and Administrative Support,39610,0.027255584,0.013246486
43-5010,Cargo and Freight Agents,Office and Administrative Support,43490,0.019947301,0.02466943
43-5020,Couriers and Messengers,Office and Administrative Support,35130,0.038727869,0.02094876
43-5030,Dispatchers,Office and Administrative Support,40680,0.031779413,0.025161443
43-5040,"Meter Readers, Utilities",Office and Administrative Support,39620,0.028088846,0.03552988
43-5050,Postal Service Workers,Office and Administrative Support,46030,0.003198968,0.048576723
43-5060,"Production, Planning, and Expediting Clerks",Office and Administrative Support,46600,0.025749518,0.033326663
43-5070,"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support,37040,0.039775097,0.020406459
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support,38650,0.053255861,0.026309941
43-6010,Secretaries and Administrative Assistants,Office and Administrative Support,38790,0.030182607,0.036871848
43-9020,Data Entry and Information Processing Workers,Office and Administrative Support,35760,0.032319779,0.015041127
43-9030,Desktop Publishers,Office and Administrative Support,42680,0.033832632,0.025262936
43-9040,Insurance Claims and Policy Processing Clerks,Office and Administrative Support,41600,0.028981076,0.021649932
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support,34440,0.032822278,0.020078278
43-9060,"Office Clerks, General",Office and Administrative Support,35350,0.044245827,0.01666029
43-9070,"Office Machine Operators, Except Computer",Office and Administrative Support,34420,0.033610629,0.017009291
43-9080,Proofreaders and Copy Markers,Office and Administrative Support,38590,0.036756875,0.023060059
43-9110,Statistical Assistants,Office and Administrative Support,45970,0.021473692,0.03625149
43-9190,Miscellaneous Office and Administrative Support Workers,Office and Administrative Support,35390,0.039792822,0.03941807
45-0000,"Farming, Fishing, and Forestry Occupations",Agriculture,34590,0.066056209,0.046792
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Office and Administrative Support,47660,0.031047376,0.04116237
45-2010,Agricultural Inspectors,Office and Administrative Support,42740,0.018645984,0.034729315
45-2020,Animal Breeders,Office and Administrative Support,43310,0.034443139,0.084436045
45-2040,"Graders and Sorters, Agricultural Products",Office and Administrative Support,33550,0.05952973,0.024638102
45-2090,Miscellaneous Agricultural Workers,Office and Administrative Support,34230,0.067561233,0.040598725
45-4010,Forest and Conservation Workers,Office and Administrative Support,36400,0.062399916,0.100393398
45-4020,Logging Workers,Office and Administrative Support,42410,0.035741767,0.026700564
47-0000,Construction and Extraction Occupations,Construction and Extraction,46030,0.04103995,0.036039711
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,62400,0.026805569,0.014802257
47-2010,Boilermakers,Construction and Extraction,62230,0.022594365,0.024625051
47-2020,"Brickmasons, Blockmasons, and Stonemasons",Construction and Extraction,48690,0.029416615,0.018848586
47-2030,Carpenters,Construction and Extraction,47550,0.039305485,0.032782202
47-2040,"Carpet, Floor, and Tile Installers and Finishers",Construction and Extraction,43520,0.03509657,0.027834621
